"","util_linhas_inseguras","idade","vezes_passou_de_30_59_dias","razao_debito","salario_mensal","numero_linhas_crdto_aberto","numero_vezes_passou_90_dias","numero_emprestimos_imobiliarios","numero_de_vezes_que_passou_60_89_dias","numero_de_dependentes","inadimplente"
"1",0.025848708,62,0,0.081774844,8180,3,0,2,0,0,0
"2",0.667083229,55,0,0.153112222,2200,3,0,0,0,0,0
"3",0.007092527,44,0,0.1488,7499,20,0,1,0,0,0
"4",0.091212944,54,0,0.351635316,5900,15,0,1,1,0,1
"5",0.112679702,54,0,0.06595941,2167,3,0,0,0,0,0
"6",0.323985404,42,0,0.352150538,10415,8,0,2,0,2,0
"7",0.007299854,63,0,0.002288853,4368,2,0,0,0,0,0
"8",0,76,1,0.261610817,1700,4,0,0,0,0,0
"9",0.062279783,55,0,0.406667092,15658,14,1,3,0,0,1
"10",0.479899327,41,1,0.209902867,8441,6,0,3,0,0,1
"11",0.040262851,49,0,11.41791045,200,7,0,2,0,0,0
"12",0.843405402,56,1,0.592719888,6400,5,0,2,0,1,1
"13",0.012197533,77,0,859,NA,17,0,1,0,0,0
"14",0.001346024,66,0,0,2150,2,0,0,0,1,0
"15",0.964023984,41,0,0.059348837,10749,9,1,0,0,0,1
"16",0.594159456,64,1,1.648362507,7083,19,0,5,0,0,1
"17",0.193098651,69,0,0.402775101,5188,7,0,2,0,0,0
"18",0.142581923,79,0,0.082849252,10500,22,0,0,0,0,0
"19",0.815551112,49,1,4081,NA,5,3,2,1,NA,1
"20",0.021974732,73,0,0.278103492,3922,8,0,1,0,0,0
"21",0.069206769,51,0,2610,NA,8,0,3,0,0,0
"22",0.679730033,42,0,1546,NA,13,0,0,0,0,1
"23",0.03195895,65,0,0.00939812,5000,5,0,0,0,2,0
"24",0.115360102,75,0,1477,0,6,0,1,0,0,0
"25",0.9999999,41,0,1365,NA,2,5,1,0,0,1
"26",0.463463272,53,0,0.407847082,9939,12,0,1,0,0,0
"27",0.385941521,59,0,0.238935821,7930,5,0,1,0,2,0
"28",0.210206778,55,0,0.302714363,5562,11,0,1,0,0,0
"29",0.025593285,45,0,0.335381522,8950,10,0,1,0,2,0
"30",0.031275265,52,0,0.385416667,2975,9,0,1,0,0,0
"31",0.021943625,76,0,0.043182727,2500,15,0,1,0,0,0
"32",0.017425167,56,0,0.893159379,2835,11,0,2,0,0,0
